Title,genre,released,score,star,budget,Marketing Spend,Marketing Amount,gross,Profitability,Pre Production Spend,Pre-Production Amount,VFX Spend,VFX Amount,Post Production Spend,Post Production Amount,Music Spend,Music Amount,Distribution,Distribution Amount
A Walk to Remember,Drama,"January 25, 2002 (United States)",7.3,Mandy Moore,11800000,17.5,2065000,47494916,35694916,65,7670000,7.5,885000,7.5,885000,4,472000,12.5,1475000
Treasure Planet,Animation,"November 27, 2002 (United States)",7.2,Joseph Gordon-Levitt,140000000,20,28000000,110041363,-29958637,35,49000000,45,63000000,10,14000000,5,7000000,12.5,17500000
My Big Fat Greek Wedding,Comedy,"August 2, 2002 (United States)",6.6,Nia Vardalos,5000000,25,1250000,368744044,363744044,55,2750000,7.5,375000,7.5,375000,4,200000,12.5,625000
We Were Soldiers,Action,"March 1, 2002 (United States)",7.2,Mel Gibson,75000000,37.5,28125000,115374915,40374915,45,33750000,30,22500000,7.5,5625000,4,3000000,12.5,9375000
The Sweetest Thing,Comedy,"April 12, 2002 (United States)",5.2,Cameron Diaz,43000000,25,10750000,69319426,26319426,55,23650000,7.5,3225000,7.5,3225000,4,1720000,12.5,5375000
xXx,Action,"August 9, 2002 (United States)",5.9,Vin Diesel,70000000,37.5,26250000,277448382,207448382,45,31500000,30,21000000,7.5,5250000,4,2800000,12.5,8750000
Equilibrium,Action,"December 6, 2002 (United States)",7.4,Christian Bale,20000000,37.5,7500000,5368217,-14631783,45,9000000,30,6000000,7.5,1500000,4,800000,12.5,2500000
The Scorpion King,Action,"April 19, 2002 (United States)",5.5,Dwayne Johnson,60000000,37.5,22500000,180630907,120630907,45,27000000,30,18000000,7.5,4500000,4,2400000,12.5,7500000
Punch-Drunk Love,Comedy,"November 1, 2002 (United States)",7.3,Adam Sandler,25000000,25,6250000,24675714,-324286,55,13750000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Die Another Day,Action,"November 22, 2002 (United States)",6.1,Pierce Brosnan,142000000,37.5,53250000,431971116,289971116,45,63900000,30,42600000,7.5,10650000,4,5680000,12.5,17750000
The Time Machine,Action,"March 8, 2002 (United States)",6,Guy Pearce,80000000,37.5,30000000,123729176,43729176,45,36000000,30,24000000,7.5,6000000,4,3200000,12.5,10000000
Bend It Like Beckham,Comedy,"August 1, 2003 (United States)",6.6,Parminder Nagra,22607802.13,25,5651950.532,76585828,53978025.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Transporter,Action,"October 11, 2002 (United States)",6.8,Jason Statham,21000000,37.5,7875000,43928932,22928932,45,9450000,30,6300000,7.5,1575000,4,840000,12.5,2625000
Blue Crush,Drama,"August 16, 2002 (United States)",5.7,Kate Bosworth,25000000,17.5,4375000,51843679,26843679,65,16250000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Ghost Ship,Horror,"October 25, 2002 (United States)",5.5,Julianna Margulies,20000000,25,5000000,68349884,48349884,45,9000000,15,3000000,7.5,1500000,6,1200000,12.5,2500000
Van Wilder,Comedy,"April 5, 2002 (United States)",6.4,Ryan Reynolds,5000000,25,1250000,38275483,33275483,55,2750000,7.5,375000,7.5,375000,4,200000,12.5,625000
Maid in Manhattan,Comedy,"December 13, 2002 (United States)",5.3,Jennifer Lopez,55000000,25,13750000,154906693,99906693,55,30250000,7.5,4125000,7.5,4125000,4,2200000,12.5,6875000
Spirit: Stallion of the Cimarron,Animation,"May 24, 2002 (United States)",7.2,Matt Damon,80000000,20,16000000,122563539,42563539,35,28000000,45,36000000,10,8000000,5,4000000,12.5,10000000
Blade II,Action,"March 22, 2002 (United States)",6.7,Wesley Snipes,54000000,37.5,20250000,155010032,101010032,45,24300000,30,16200000,7.5,4050000,4,2160000,12.5,6750000
Frida,Biography,"November 22, 2002 (United States)",7.4,Salma Hayek,12000000,17.5,2100000,56298474,44298474,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Phone Booth,Crime,"April 4, 2003 (United States)",7,Colin Farrell,13000000,20,2600000,97837138,84837138,55,7150000,15,1950000,7.5,975000,6,780000,12.5,1625000
About a Boy,Comedy,"May 17, 2002 (United States)",7.1,Hugh Grant,30000000,25,7500000,130549455,100549455,55,16500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
Confessions of a Dangerous Mind,Biography,"January 24, 2003 (United States)",7,Sam Rockwell,30000000,17.5,5250000,33013805,3013805,55,16500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
Kung Pow: Enter the Fist,Action,"January 25, 2002 (United States)",6.2,Steve Oedekerk,10000000,37.5,3750000,16994625,6994625,45,4500000,30,3000000,7.5,750000,4,400000,12.5,1250000
Hero,Action,"August 27, 2004 (United States)",7.9,Jet Li,31000000,37.5,11625000,177395557,146395557,45,13950000,30,9300000,7.5,2325000,4,1240000,12.5,3875000
Star Trek: Nemesis,Action,"December 13, 2002 (United States)",6.4,Patrick Stewart,60000000,37.5,22500000,67336470,7336470,45,27000000,30,18000000,7.5,4500000,4,2400000,12.5,7500000
Eight Legged Freaks,Action,"July 17, 2002 (United States)",5.4,David Arquette,30000000,37.5,11250000,45867333,15867333,45,13500000,30,9000000,7.5,2250000,4,1200000,12.5,3750000
Queen of the Damned,Drama,"February 22, 2002 (United States)",5.3,Aaliyah,35000000,17.5,6125000,45479110,10479110,65,22750000,7.5,2625000,7.5,2625000,4,1400000,12.5,4375000
Femme Fatale,Crime,"November 6, 2002 (United States)",6.2,Rebecca Romijn,35000000,20,7000000,16838910,-18161090,55,19250000,15,5250000,7.5,2625000,6,2100000,12.5,4375000
The Hours,Drama,"February 14, 2003 (United States)",7.5,Meryl Streep,25000000,17.5,4375000,108846072,83846072,65,16250000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
40 Days and 40 Nights,Comedy,"March 1, 2002 (United States)",5.6,Josh Hartnett,17000000,25,4250000,95146283,78146283,55,9350000,7.5,1275000,7.5,1275000,4,680000,12.5,2125000
One Hour Photo,Drama,"September 13, 2002 (United States)",6.8,Robin Williams,12000000,17.5,2100000,52223306,40223306,65,7800000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Cabin Fever,Horror,"September 12, 2003 (United States)",5.6,Jordan Ladd,1500000,25,375000,30553394,29053394,45,675000,15,225000,7.5,112500,6,90000,12.5,187500
Secret Things,Comedy,"October 16, 2002 (France)",6.1,Coralie Revel,22607802.13,25,5651950.532,234255,-22373547.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The New Guy,Comedy,"May 10, 2002 (United States)",5.9,DJ Qualls,13000000,25,3250000,31167388,18167388,55,7150000,7.5,975000,7.5,975000,4,520000,12.5,1625000
Orange County,Comedy,"January 11, 2002 (United States)",6.2,Colin Hanks,18000000,25,4500000,43325009,25325009,55,9900000,7.5,1350000,7.5,1350000,4,720000,12.5,2250000
Mr. Deeds,Comedy,"June 28, 2002 (United States)",5.8,Adam Sandler,50000000,25,12500000,171269535,121269535,55,27500000,7.5,3750000,7.5,3750000,4,2000000,12.5,6250000
Devdas,Drama,"July 12, 2002 (India)",7.6,Shah Rukh Khan,22914608.79,17.5,4010056.539,5427830,-17486778.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
John Q,Crime,"February 15, 2002 (United States)",7.1,Denzel Washington,36000000,20,7200000,102244770,66244770,55,19800000,15,5400000,7.5,2700000,6,2160000,12.5,4500000
Crossroads,Comedy,"February 15, 2002 (United States)",3.6,Britney Spears,12000000,25,3000000,61141030,49141030,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
25th Hour,Drama,"January 10, 2003 (United States)",7.6,Edward Norton,5000000,17.5,875000,23932055,18932055,65,3250000,7.5,375000,7.5,375000,4,200000,12.5,625000
Infernal Affairs,Action,"December 12, 2002 (Hong Kong)",8,Andy Lau,6428966,37.5,2410862.25,8836958,2407992,45,2893034.7,30,1928689.8,7.5,482172.45,4,257158.64,12.5,803620.75
Solaris,Drama,"November 27, 2002 (United States)",6.2,George Clooney,47000000,17.5,8225000,30002758,-16997242,65,30550000,7.5,3525000,7.5,3525000,4,1880000,12.5,5875000
Like Mike,Comedy,"July 3, 2002 (United States)",5.3,Shad Moss,30000000,25,7500000,62274780,32274780,55,16500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
The Rules of Attraction,Comedy,"October 11, 2002 (United States)",6.6,James Van Der Beek,4000000,25,1000000,11832822,7832822,55,2200000,7.5,300000,7.5,300000,4,160000,12.5,500000
I Spy,Action,"November 1, 2002 (United States)",5.4,Eddie Murphy,70000000,37.5,26250000,51386477,-18613523,45,31500000,30,21000000,7.5,5250000,4,2800000,12.5,8750000
The Mothman Prophecies,Drama,"January 25, 2002 (United States)",6.4,Richard Gere,32000000,17.5,5600000,55305279,23305279,65,20800000,7.5,2400000,7.5,2400000,4,1280000,12.5,4000000
Antwone Fisher,Biography,"January 10, 2003 (United States)",7.3,Denzel Washington,12500000,17.5,2187500,23367586,10867586,55,6875000,7.5,937500,7.5,937500,4,500000,12.5,1562500
The Good Girl,Drama,"August 30, 2002 (United States)",6.4,Jennifer Aniston,8000000,17.5,1400000,16860964,8860964,65,5200000,7.5,600000,7.5,600000,4,320000,12.5,1000000
Spun,Comedy,"February 7, 2003 (Norway)",6.8,Jason Schwartzman,2000000,25,500000,685608,-1314392,55,1100000,7.5,150000,7.5,150000,4,80000,12.5,250000
Sympathy for Mr. Vengeance,Crime,"March 29, 2002 (South Korea)",7.6,Kang-ho Song,4000000,20,800000,2046061,-1953939,55,2200000,15,600000,7.5,300000,6,240000,12.5,500000
Enough,Crime,"May 24, 2002 (United States)",5.8,Jennifer Lopez,38000000,20,7600000,51806184,13806184,55,20900000,15,5700000,7.5,2850000,6,2280000,12.5,4750000
High Crimes,Crime,"April 5, 2002 (United States)",6.4,Jim Caviezel,42000000,20,8400000,63781810,21781810,55,23100000,15,6300000,7.5,3150000,6,2520000,12.5,5250000
Two Weeks Notice,Comedy,"December 20, 2002 (United States)",6.1,Sandra Bullock,60000000,25,15000000,199043471,139043471,55,33000000,7.5,4500000,7.5,4500000,4,2400000,12.5,7500000
Death to Smoochy,Comedy,"March 29, 2002 (United States)",6.3,Robin Williams,50000000,25,12500000,8382938,-41617062,55,27500000,7.5,3750000,7.5,3750000,4,2000000,12.5,6250000
The Four Feathers,Action,"September 20, 2002 (United States)",6.5,Heath Ledger,35000000,37.5,13125000,29882645,-5117355,45,15750000,30,10500000,7.5,2625000,4,1400000,12.5,4375000
Better Luck Tomorrow,Crime,"April 25, 2003 (United States)",7,Parry Shen,250000,20,50000,3809226,3559226,55,137500,15,37500,7.5,18750,6,15000,12.5,31250
Big Fat Liar,Adventure,"February 8, 2002 (United States)",5.5,Frankie Muniz,15000000,37.5,5625000,52970014,37970014,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
About Schmidt,Comedy,"January 3, 2003 (United States)",7.1,Jack Nicholson,30000000,25,7500000,105834556,75834556,55,16500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
The Master of Disguise,Adventure,"August 2, 2002 (United States)",3.3,Dana Carvey,16000000,37.5,6000000,43411001,27411001,45,7200000,30,4800000,7.5,1200000,4,640000,12.5,2000000
Drumline,Comedy,"December 13, 2002 (United States)",5.9,Nick Cannon,20000000,25,5000000,57588485,37588485,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
Halloween: Resurrection,Horror,"July 12, 2002 (United States)",4,Jamie Lee Curtis,13000000,25,3250000,37664855,24664855,45,5850000,15,1950000,7.5,975000,6,780000,12.5,1625000
Windtalkers,Action,"June 14, 2002 (United States)",6.1,Nicolas Cage,115000000,37.5,43125000,77628265,-37371735,45,51750000,30,34500000,7.5,8625000,4,4600000,12.5,14375000
Friday After Next,Comedy,"November 22, 2002 (United States)",5.8,Ice Cube,10000000,25,2500000,33526835,23526835,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Eye See You,Crime,"January 17, 2002 (Germany)",5.3,Sylvester Stallone,55000000,20,11000000,6632383,-48367617,55,30250000,15,8250000,7.5,4125000,6,3300000,12.5,6875000
Undercover Brother,Action,"May 31, 2002 (United States)",5.9,Eddie Griffin,25000000,37.5,9375000,41604473,16604473,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
Spy Kids 2: Island of Lost Dreams,Action,"August 7, 2002 (United States)",5.2,Alexa PenaVega,38000000,37.5,14250000,119723358,81723358,45,17100000,30,11400000,7.5,2850000,4,1520000,12.5,4750000
Tuck Everlasting,Drama,"October 11, 2002 (United States)",6.6,Alexis Bledel,15000000,17.5,2625000,19344615,4344615,65,9750000,7.5,1125000,7.5,1125000,4,600000,12.5,1875000
The Rookie,Drama,"March 29, 2002 (United States)",6.9,Dennis Quaid,22000000,17.5,3850000,80693537,58693537,65,14300000,7.5,1650000,7.5,1650000,4,880000,12.5,2750000
Murder by Numbers,Crime,"April 19, 2002 (United States)",6.2,Sandra Bullock,50000000,20,10000000,56714147,6714147,55,27500000,15,7500000,7.5,3750000,6,3000000,12.5,6250000
Hart's War,Drama,"February 15, 2002 (United States)",6.3,Bruce Willis,70000000,17.5,12250000,32287044,-37712956,65,45500000,7.5,5250000,7.5,5250000,4,2800000,12.5,8750000
Asterix & Obelix: Mission Cleopatra,Adventure,"June 24, 2005 (United States)",6.7,Gérard Depardieu,45708389.06,37.5,17140645.9,128027976,82319586.94,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Swept Away,Comedy,"October 11, 2002 (United States)",3.6,Madonna,10000000,25,2500000,1036520,-8963480,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
May,Comedy,"April 11, 2003 (Denmark)",6.6,Angela Bettis,500000,25,125000,264349,-235651,55,275000,7.5,37500,7.5,37500,4,20000,12.5,62500
Dragonfly,Drama,"February 22, 2002 (United States)",6.1,Kevin Costner,60000000,17.5,10500000,52323400,-7676600,65,39000000,7.5,4500000,7.5,4500000,4,2400000,12.5,7500000
Juwanna Mann,Comedy,"June 21, 2002 (United States)",4.6,Miguel A. Núñez Jr.,15600000,25,3900000,13802599,-1797401,55,8580000,7.5,1170000,7.5,1170000,4,624000,12.5,1950000
Divine Secrets of the Ya-Ya Sisterhood,Drama,"June 7, 2002 (United States)",6.1,Sandra Bullock,27000000,17.5,4725000,73839240,46839240,65,17550000,7.5,2025000,7.5,2025000,4,1080000,12.5,3375000
Dirty Pretty Things,Crime,"September 5, 2003 (United States)",7.3,Chiwetel Ejiofor,10000000,20,2000000,13904766,3904766,55,5500000,15,1500000,7.5,750000,6,600000,12.5,1250000
Paid in Full,Action,"October 25, 2002 (United States)",7.1,Mekhi Phifer,58084599.21,37.5,21781724.7,3116526,-54968073.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
The Tuxedo,Action,"September 27, 2002 (United States)",5.4,Jackie Chan,60000000,37.5,22500000,104391623,44391623,45,27000000,30,18000000,7.5,4500000,4,2400000,12.5,7500000
Swimfan,Drama,"September 6, 2002 (United States)",5.1,Jesse Bradford,10000000,17.5,1750000,34411240,24411240,65,6500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Talk to Her,Drama,"February 14, 2003 (United States)",7.9,Rosario Flores,22914608.79,17.5,4010056.539,64790996,41876387.21,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Lilya 4-Ever,Crime,"August 23, 2002 (Sweden)",7.8,Oksana Akinshina,22363565.63,20,4472713.126,1007747,-21355818.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Serving Sara,Comedy,"August 23, 2002 (United States)",5.3,Matthew Perry,29000000,25,7250000,20146150,-8853850,55,15950000,7.5,2175000,7.5,2175000,4,1160000,12.5,3625000
K-19: The Widowmaker,Drama,"July 19, 2002 (United States)",6.7,Harrison Ford,100000000,17.5,17500000,65716126,-34283874,65,65000000,7.5,7500000,7.5,7500000,4,4000000,12.5,12500000
Stuart Little 2,Animation,"July 19, 2002 (United States)",5.5,Michael J. Fox,120000000,20,24000000,169956806,49956806,35,42000000,45,54000000,10,12000000,5,6000000,12.5,15000000
Igby Goes Down,Comedy,"October 4, 2002 (United States)",6.9,Kieran Culkin,9000000,25,2250000,6919198,-2080802,55,4950000,7.5,675000,7.5,675000,4,360000,12.5,1125000
24 Hour Party People,Biography,"September 20, 2002 (United States)",7.3,Steve Coogan,25312316.72,17.5,4429655.427,2801397,-22510919.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Rollerball,Action,"February 8, 2002 (United States)",3.1,Chris Klein,70000000,37.5,26250000,25852764,-44147236,45,31500000,30,21000000,7.5,5250000,4,2800000,12.5,8750000
Changing Lanes,Drama,"April 12, 2002 (United States)",6.5,Ben Affleck,45000000,17.5,7875000,94935764,49935764,65,29250000,7.5,3375000,7.5,3375000,4,1800000,12.5,5625000
White Oleander,Drama,"October 11, 2002 (United States)",7.1,Michelle Pfeiffer,16000000,17.5,2800000,21672284,5672284,65,10400000,7.5,1200000,7.5,1200000,4,640000,12.5,2000000
Below,Action,"October 18, 2002 (United States)",6.2,Bruce Greenwood,40000000,37.5,15000000,2622015,-37377985,45,18000000,30,12000000,7.5,3000000,4,1600000,12.5,5000000
Big Trouble,Comedy,"April 5, 2002 (United States)",6.5,Tim Allen,40000000,25,10000000,8493890,-31506110,55,22000000,7.5,3000000,7.5,3000000,4,1600000,12.5,5000000
Far from Heaven,Drama,"January 10, 2003 (United States)",7.4,Julianne Moore,13500000,17.5,2362500,29027914,15527914,65,8775000,7.5,1012500,7.5,1012500,4,540000,12.5,1687500
Bubba Ho-Tep,Comedy,"October 10, 2003 (United States)",7,Bruce Campbell,1000000,25,250000,1239183,239183,55,550000,7.5,75000,7.5,75000,4,40000,12.5,125000
S1m0ne,Comedy,"August 23, 2002 (United States)",6.1,Al Pacino,10000000,25,2500000,19576023,9576023,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Auto Focus,Biography,"November 1, 2002 (United States)",6.6,Greg Kinnear,7000000,17.5,1225000,2704951,-4295049,55,3850000,7.5,525000,7.5,525000,4,280000,12.5,875000
Blood Work,Action,"August 9, 2002 (United States)",6.4,Clint Eastwood,50000000,37.5,18750000,31794718,-18205282,45,22500000,30,15000000,7.5,3750000,4,2000000,12.5,6250000
Collateral Damage,Action,"February 8, 2002 (United States)",5.5,Arnold Schwarzenegger,85000000,37.5,31875000,78382433,-6617567,45,38250000,30,25500000,7.5,6375000,4,3400000,12.5,10625000
Undisputed,Action,"August 23, 2002 (United States)",6.2,Wesley Snipes,20000000,37.5,7500000,14946150,-5053850,45,9000000,30,6000000,7.5,1500000,4,800000,12.5,2500000
The Salton Sea,Crime,"June 21, 2002 (Ireland)",7.1,Val Kilmer,18000000,20,3600000,1073198,-16926802,55,9900000,15,2700000,7.5,1350000,6,1080000,12.5,2250000
Ju-on: The Grudge,Horror,"January 25, 2003 (Japan)",6.7,Megumi Okina,3500000,25,875000,3657876,157876,45,1575000,15,525000,7.5,262500,6,210000,12.5,437500
Barbershop,Comedy,"September 13, 2002 (United States)",6.3,Ice Cube,12000000,25,3000000,77063924,65063924,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Whale Rider,Drama,"August 29, 2003 (United States)",7.5,Keisha Castle-Hughes,3500000,17.5,612500,41062976,37562976,65,2275000,7.5,262500,7.5,262500,4,140000,12.5,437500
Rabbit-Proof Fence,Adventure,"January 31, 2003 (United States)",7.4,Everlyn Sampi,6000000,37.5,2250000,16217411,10217411,45,2700000,30,1800000,7.5,450000,4,240000,12.5,750000
Trapped,Action,"September 20, 2002 (United States)",6.2,Kevin Bacon,30000000,37.5,11250000,13414416,-16585584,45,13500000,30,9000000,7.5,2250000,4,1200000,12.5,3750000
Narc,Crime,"January 10, 2003 (United States)",7.1,Ray Liotta,6500000,20,1300000,12633747,6133747,55,3575000,15,975000,7.5,487500,6,390000,12.5,812500
In America,Drama,"February 6, 2004 (United States)",7.7,Paddy Considine,22914608.79,17.5,4010056.539,25382911,2468302.208,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Dark Blue,Crime,"February 21, 2003 (United States)",6.6,Kurt Russell,15000000,20,3000000,12150301,-2849699,55,8250000,15,2250000,7.5,1125000,6,900000,12.5,1875000
Dahmer,Biography,2019 (United States),5.6,Jeremy Renner,250000,17.5,43750,144008,-105992,55,137500,7.5,18750,7.5,18750,4,10000,12.5,31250
Boat Trip,Comedy,"March 21, 2003 (United States)",4.9,Cuba Gooding Jr.,20000000,25,5000000,15020293,-4979707,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
The Magdalene Sisters,Drama,"August 29, 2003 (United States)",7.7,Eileen Walsh,22914608.79,17.5,4010056.539,21107578,-1807030.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Nicholas Nickleby,Adventure,"June 27, 2003 (United Kingdom)",7.1,Charlie Hunnam,10000000,37.5,3750000,3651462,-6348538,45,4500000,30,3000000,7.5,750000,4,400000,12.5,1250000
Bad Company,Action,"June 7, 2002 (United States)",5.6,Anthony Hopkins,70000000,37.5,26250000,66200782,-3799218,45,31500000,30,21000000,7.5,5250000,4,2800000,12.5,8750000
8 Women,Comedy,"October 4, 2002 (United States)",7.1,Fanny Ardant,22607802.13,25,5651950.532,42426583,19818780.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Spider,Drama,"November 13, 2002 (France)",6.8,Ralph Fiennes,10000000,17.5,1750000,5808941,-4191059,65,6500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Snow Dogs,Adventure,"January 18, 2002 (United States)",5.2,Cuba Gooding Jr.,33000000,37.5,12375000,115035090,82035090,45,14850000,30,9900000,7.5,2475000,4,1320000,12.5,4125000
The Quiet American,Drama,"March 7, 2003 (United States)",7.1,Michael Caine,30000000,17.5,5250000,27674124,-2325876,65,19500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
The Santa Clause 2,Comedy,"November 1, 2002 (United States)",5.7,Tim Allen,65000000,25,16250000,172855065,107855065,55,35750000,7.5,4875000,7.5,4875000,4,2600000,12.5,8125000
Laurel Canyon,Drama,"March 28, 2003 (United States)",6.4,Frances McDormand,22914608.79,17.5,4010056.539,4412203,-18502405.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Slackers,Comedy,"February 1, 2002 (United States)",5.4,Devon Sawa,14000000,25,3500000,6413915,-7586085,55,7700000,7.5,1050000,7.5,1050000,4,560000,12.5,1750000
Sorority Boys,Comedy,"March 22, 2002 (United States)",5.5,Barry Watson,12000000,25,3000000,12517488,517488,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
The Country Bears,Comedy,"July 26, 2002 (United States)",4.2,Haley Joel Osment,35000000,25,8750000,18012097,-16987903,55,19250000,7.5,2625000,7.5,2625000,4,1400000,12.5,4375000
All About the Benjamins,Action,"March 8, 2002 (United States)",5.9,Ice Cube,15000000,37.5,5625000,26306533,11306533,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
Abandon,Drama,"October 18, 2002 (United States)",4.9,Katie Holmes,25000000,17.5,4375000,12302219,-12697781,65,16250000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Gerry,Adventure,"September 20, 2002 (Greece)",6.1,Casey Affleck,3500000,37.5,1312500,254683,-3245317,45,1575000,30,1050000,7.5,262500,4,140000,12.5,437500
The Spanish Apartment,Comedy,"June 20, 2003 (United States)",7.3,Romain Duris,22607802.13,25,5651950.532,33272835,10665032.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Clockstoppers,Action,"March 29, 2002 (United States)",5.2,Jesse Bradford,26000000,37.5,9750000,38793283,12793283,45,11700000,30,7800000,7.5,1950000,4,1040000,12.5,3250000
Pumpkin,Comedy,"March 12, 2004 (Spain)",6.1,Christina Ricci,22607802.13,25,5651950.532,308552,-22299250.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Peter Pan 2: Return to Never Land,Animation,"February 15, 2002 (United States)",5.8,Blayne Weaver,20000000,20,4000000,115121981,95121981,35,7000000,45,9000000,10,2000000,5,1000000,12.5,2500000
Russian Ark,Drama,"April 19, 2003 (Russia)",7.4,Sergey Dreyden,22914608.79,17.5,4010056.539,8690168,-14224440.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Poolhall Junkies,Comedy,"February 28, 2003 (United States)",6.9,Mars Callahan,4000000,25,1000000,563711,-3436289,55,2200000,7.5,300000,7.5,300000,4,160000,12.5,500000
Feardotcom,Crime,"August 30, 2002 (United States)",3.4,Stephen Dorff,40000000,20,8000000,18902015,-21097985,55,22000000,15,6000000,7.5,3000000,6,2400000,12.5,5000000
Morvern Callar,Drama,"November 1, 2002 (United Kingdom)",6.8,Samantha Morton,22914608.79,17.5,4010056.539,772336,-22142272.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
No Good Deed,Crime,"November 20, 2014 (Germany)",5.4,Samuel L. Jackson,12000000,20,2400000,1440653,-10559347,55,6600000,15,1800000,7.5,900000,6,720000,12.5,1500000
Darkness,Horror,"December 25, 2004 (United States)",5.4,Anna Paquin,10600000,25,2650000,33988736,23388736,45,4770000,15,1590000,7.5,795000,6,636000,12.5,1325000
Analyze That,Comedy,"December 6, 2002 (United States)",5.9,Robert De Niro,60000000,25,15000000,55003135,-4996865,55,33000000,7.5,4500000,7.5,4500000,4,2400000,12.5,7500000
The Banger Sisters,Comedy,"September 20, 2002 (United States)",5.6,Susan Sarandon,10000000,25,2500000,38068353,28068353,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Demonlover,Drama,"November 6, 2002 (France)",5.9,Connie Nielsen,22914608.79,17.5,4010056.539,462976,-22451632.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Wild Thornberrys,Animation,"December 20, 2002 (United States)",5.6,Tim Curry,25000000,20,5000000,60694737,35694737,35,8750000,45,11250000,10,2500000,5,1250000,12.5,3125000
The Adventures of Pluto Nash,Action,"August 16, 2002 (United States)",3.8,Eddie Murphy,100000000,37.5,37500000,7103973,-92896027,45,45000000,30,30000000,7.5,7500000,4,4000000,12.5,12500000
Bloody Sunday,Drama,"April 19, 2002 (Portugal)",7.6,James Nesbitt,22914608.79,17.5,4010056.539,1758689,-21155919.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Eight Crazy Nights,Animation,"November 27, 2002 (United States)",5.3,Adam Sandler,34000000,20,6800000,23833131,-10166869,35,11900000,45,15300000,10,3400000,5,1700000,12.5,4250000
Full Frontal,Comedy,"August 2, 2002 (United States)",4.7,Julia Roberts,2000000,25,500000,3438804,1438804,55,1100000,7.5,150000,7.5,150000,4,80000,12.5,250000
Moonlight Mile,Drama,"October 4, 2002 (United States)",6.6,Jake Gyllenhaal,21000000,17.5,3675000,10011050,-10988950,65,13650000,7.5,1575000,7.5,1575000,4,840000,12.5,2625000
Half Past Dead,Action,"November 15, 2002 (United States)",4.6,Morris Chestnut,13000000,37.5,4875000,19233280,6233280,45,5850000,30,3900000,7.5,975000,4,520000,12.5,1625000
Life or Something Like It,Comedy,"April 26, 2002 (United States)",5.8,Angelina Jolie,40000000,25,10000000,16872671,-23127329,55,22000000,7.5,3000000,7.5,3000000,4,1600000,12.5,5000000
